url_name,sell_mean,sell_median,buy_mean,buy_median
secura_dual_cestra,35.888888888888886,35,16,16.0
creeping_bullseye,10.166666666666666,7.0,16,16.0
mutalist_alad_v_assassinate_key,15.666666666666666,12.5,16,16.0
irradiating_disarm,19.25,16.5,16,16.0
antimatter_absorb,17.22222222222222,15,16,16.0
arcane_barrier,92.13207547169812,20,85,100
arcane_ice,15.214285714285714,10.0,85,100
telos_boltor,43.38461538461539,40,15,15
frost_prime_set,135.38235294117646,130.0,83.6,89
catalyzer_link,8.666666666666666,9.5,83.6,89
targeting_subsystem,15.777777777777779,10,83.6,89
strun_wraith_receiver,29,29.0,83.6,89
tectonic_fracture,17.555555555555557,15,83.6,89
mantis_set,36.266666666666666,30,83.6,89
acid_shells,32,22.0,83.6,89
nightwatch_napalm,27.939393939393938,27,9.75,10.0
quasar_drill,15.11111111111111,10,9.75,10.0
comet_blast,13,9.5,9.75,10.0
nebula_bore,7.375,6.5,9.75,10.0
kaszas_blade,12.181818181818182,12,4,4
velocitus_receiver,13.083333333333334,11.5,4,4
fluctus_barrel,12.9,10.5,8,8.0
fluctus_limbs,12.714285714285714,15,5,5.0
fluctus_stock,13.727272727272727,15,5,5.0
decurion_barrel,16.285714285714285,15.0,5,5.0
hydroid_prime_set,126.33333333333333,120.0,65.375,62.5
cleanse_corrupted,15.666666666666666,12,65.375,62.5
kappa_beacon,28,20,65.375,62.5
star_crimzian,2.7222222222222223,2.0,65.375,62.5
virtuos_strike,26.166666666666668,21.5,65.375,62.5
hunter_adrenaline,11,7,65.375,62.5
viper_wraith,85.66666666666667,88,38,38
eidolon_madurai_lens,48.75,45.0,38,38
eidolon_vazarin_lens,60,60.0,38,38
eidolon_unairu_lens,46.25,45.0,20,20
zephyr_prime_chassis,9.555555555555555,7.5,3,3
pax_soar,25.4,15,3,3
redeemer_prime_blade,8.45,8.0,3,3
akjagara_prime_receiver,13.3,10.0,4.666666666666667,5
kitgun_riven_mod_(veiled),7.7555555555555555,5,4.666666666666667,5
spectrosiphon,23.833333333333332,22.5,5,5
wolf_sledge_head,13.714285714285714,10.0,4,4
wolf_sledge_set,245.36363636363637,240,110.75,110.0
zhuge_prime_grip,11,10,2.5,2.5
freeze_force,19.571428571428573,19,4,4
swirling_tiger,4.5,3.5,4,4
quick_thinking,13.216216216216216,10,4,4
wyrm_prime_blueprint,25.642857142857142,20.0,8.5,8.5
spring_loaded_blade,18.967741935483872,18,5.333333333333333,5
kinetic_diversion,10.466666666666667,10,10,10
power_throw,6.645161290322581,5,10,10
fateful_truth,6.645161290322581,5,10,10
malignant_force,12.151515151515152,10,10,10
superior_defenses,10.8,10.0,10,10
energy_inversion,9,9.5,10,10
shattering_justice,16,15.0,10,10
fast_hands,12.714285714285714,13,10,10
polar_magazine,12.3125,10.0,10,10
rifle_amp,26.75862068965517,20,8,8.0
spare_parts,5.714285714285714,3.0,8,8.0
no_return,3.5,3.5,8,8.0
